ID,Phylum,Class,Order,Family,Genus,Species,Similarity,Status,Flags
>otu66,Mollusca,Gastropoda,Stylommatophora,Milacidae,Milax,,99.43,Published,       
>otu67,Mollusca,Gastropoda,Stylommatophora,Chondrinidae,,,90.24,Published,       
>otu68,Arthropoda,Branchiopoda,Anomopoda,,,,85.9,Published,2
>otu69,Arthropoda,Insecta,Hymenoptera,Eurytomidae,,,90.8,Published,2
>otu70,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Lumbricus,terrestris,100,Published,2
>otu71,Arthropoda,Diplopoda,Polydesmida,Paradoxosomatidae,Oxidus,gracilis,100,Published,1
>otu72,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Aporrectodea,trapezoides,100,Published,2
>otu73,Arthropoda,Insecta,Diptera,Psychodidae,,,98.77,Private,2
>otu74,Arthropoda,Arachnida,Sarcoptiformes,Euzetidae,,,97.62,Published,1
>otu75,Arthropoda,Diplopoda,Polydesmida,Polydesmidae,Polydesmus,coriaceus,98.87,Private,3
>otu76,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu77,Nematoda,Chromadorea,Rhabditida,Steinernematidae,,,91.27,Published,4
>otu78,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Nalassus,laevioctostriatus,100,Private,       
>otu79,Arthropoda,Insecta,Diptera,Calliphoridae,Stevenia,deceptoria,100,Private,3
>otu80,Arthropoda,Insecta,Diptera,Stratiomyidae,Chloromyia,formosa,100,Published,       
>otu81,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Sonchus,asper,100,Published,2
>otu82,Proteobacteria,Alphaproteobacteria,,,,,72.62,Published,2
>otu83,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Nalassus,laevioctostriatus,99.43,Published,       
>otu84,Arthropoda,Insecta,Coleoptera,Tenebrionidae,,,93.59,Published,2
>otu85,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu86,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu87,Mollusca,Gastropoda,Stylommatophora,Agriolimacidae,Deroceras,reticulatum,100,Private,1
>otu88,Nematoda,Chromadorea,Rhabditida,Angiostrongylidae,,,92.25,Published,       
>otu89,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu90,Arthropoda,Arachnida,Sarcoptiformes,,,,87.18,Early-Release,  2 3  
>otu91,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu92,Chordata,Actinopterygii,,,,,80.25,Published,2
>otu93,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu94,Nematoda,Chromadorea,Tylenchida,Sphaerulariidae,,,91.53,Private,    3 4
>otu95,Arthropoda,Thecostraca,,,,,79.49,Published,2
>otu96,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu97,Arthropoda,Insecta,Diptera,,,,94.05,Published,2
>otu98,Chordata,Actinopterygii,,,,,79.01,Published,2
>otu99,Arthropoda,Insecta,Diptera,Psychodidae,Sciopemyia,,95.24,Published,2
>otu100,Arthropoda,Diplopoda,Polydesmida,Polydesmidae,Polydesmus,coriaceus,98.87,Private,       
>otu101,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu102,Arthropoda,Arachnida,Trombidiformes,,,,89.58,Published,       
>otu103,Nematoda,Chromadorea,Rhabditida,,,,87.5,Published,1 2    
>otu104,Chordata,Actinopterygii,,,,,80.25,Published,2
>otu105,Nematoda,Chromadorea,Rhabditida,,,,89.09,Private,  2 3  
>otu106,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu107,Mollusca,Gastropoda,Stylommatophora,Oxychilidae,Oxychilus,alliarius,98.85,Published,4
>otu108,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Lumbricus,terrestris,100,Published,       
>otu109,Magnoliophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Polygonum,aviculare,100,Published,2
>otu110,Acanthocephala,Palaeacanthocephala,Polymorphida,Plagiorhynchidae,Plagiorhynchus,transversus,98.83,Published,       
>otu111,Magnoliophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,,97.18,Published,2
>otu112,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu113,Arthropoda,Insecta,Lepidoptera,Geometridae,Jodis,lactearia,100,Published,       
>otu114,Magnoliophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,rubrum,98.87,Published,2
>otu115,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu116,Arthropoda,Insecta,Diptera,Ceratopogonidae,,,,Published,2
>otu117,Chordata,Actinopterygii,,,,,79.57,Published,2
>otu118,Nematoda,Chromadorea,Rhabditida,,,,87.18,Published,4
>otu119,Arthropoda,Insecta,Plecoptera,Perlidae,Anacroneuria,guambiana complex,,Private,2
>otu120,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu121,Arthropoda,Insecta,Lepidoptera,Tortricidae,Acleris,,97.44,Published,2
>otu122,Chordata,Actinopterygii,,,,,78.21,Published,2
>otu123,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu124,Nematoda,Chromadorea,Rhabditida,Rhabditidae,,,92.86,Published,2
>otu125,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu126,Arthropoda,Insecta,Diptera,Tipulidae,Tipula,paludosa,100,Published,       
>otu127,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu128,Arthropoda,Insecta,Coleoptera,Tenebrionidae,,,93.59,Published,2
>otu129,Arthropoda,Insecta,Diptera,Lauxaniidae,Prosopomyia,pallida,100,Published,4
>otu130,Arthropoda,Insecta,Dermaptera,Forficulidae,Forficula,auricularia,100,Published,       
>otu131,Arthropoda,Insecta,Diptera,Tabanidae,Dichelacera,,95.4,Private,  2 3  
>otu132,Arthropoda,Insecta,Diptera,Calliphoridae,Paykullia,brevicornis,99.44,Published,2
>otu133,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu134,Zygomycota,,,,,,100,Private,3
>otu135,Arthropoda,Arachnida,Sarcoptiformes,Phthiracaridae,Steganacarus,magnus,98.28,Private,       
>otu136,Arthropoda,Arachnida,Araneae,Dysderidae,Dysdera,fuscipes,98.31,Private,    3 4
>otu137,Arthropoda,Insecta,Hemiptera,Pentatomidae,,,,Published,2
>otu138,Chlorophyta,Trebouxiophyceae,,,,,85.63,Published,2
>otu139,Rotifera,Bdelloidea,Adinetida,Adinetidae,,,94.05,Published,2
>otu140,Nematoda,Chromadorea,Rhabditida,Rhabditidae,,,96.05,Published,       
>otu141,Nematoda,Chromadorea,Rhabditida,Rhabditidae,Caenorhabditis,elegans,100,Published,       
>otu142,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu143,Arthropoda,Thecostraca,,,,,79.49,Published,2
>otu144,Arthropoda,Insecta,Diptera,Calliphoridae,Phyto,,100,Published,2
>otu145,Rotifera,Bdelloidea,,Philodinidae,,,91.36,Published,2
>otu147,Magnoliophyta,Liliopsida,Poales,Poaceae,Aegilops,speltoides,100,Published,2
>otu148,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu149,Cnidaria,Cubozoa,,,,,77.01,Published,2
>otu150,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu151,Rhodophyta,Florideophyceae,,,,,77.01,Early-Release,  2 3  
>otu152,Magnoliophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,alba,98.31,Published,2
>otu153,Arthropoda,Arachnida,Araneae,,,,88.46,Published,       
>otu154,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu155,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu156,Arthropoda,Malacostraca,Isopoda,Armadillidiidae,Eluma,caelata,98.87,Published,       
>otu157,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu158,Zygomycota,,,,,,99.44,Private,3
>otu159,Arthropoda,Arachnida,Sarcoptiformes,Scutoverticidae,,,92.53,Published,       
>otu160,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu161,Arthropoda,Diplopoda,Julida,Julidae,Brachyiulus,pusillus,100,Published,1
>otu162,Echinodermata,Asteroidea,,,,,75.64,Published,2
>otu163,Arthropoda,Insecta,Diptera,Calliphoridae,Phyto,melanocephala,100,Private,2
>otu164,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu165,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu166,Chordata,Actinopterygii,,,,,77.38,Published,2
>otu167,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu168,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu169,Echinodermata,Crinoidea,,,,,79.31,Published,2
>otu170,Arthropoda,Insecta,Coleoptera,Carabidae,Bradycellus,verbasci,100,Published,       
>otu171,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu172,Nematoda,Chromadorea,Rhabditida,,,,85.12,Published,2
>otu173,Arthropoda,Copepoda,,,,,83.95,Published,2
>otu174,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu175,Arthropoda,Arachnida,Trombidiformes,Eupodidae,,,98.81,Published,1
>otu176,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu177,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu178,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu179,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu180,Arthropoda,Insecta,Hemiptera,Cixiidae,Cixius,,97.74,Private,       
>otu181,Chlorophyta,Trebouxiophyceae,,,,,85.06,Published,2
>otu182,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Allolobophora,chlorotica,100,Private,3
>otu183,Arthropoda,Insecta,Hymenoptera,Braconidae,Cotesia,,100,Published,       
>otu184,Chordata,Actinopterygii,,,,,79.49,Published,2
>otu185,Magnoliophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Polygonum,persicaria,99.44,Published,2
>otu186,Nematoda,Chromadorea,Strongylida,,,,89.71,Published,2
>otu187,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Allolobophora,chlorotica,99.44,Private,1
>otu188,Arthropoda,Insecta,Coleoptera,Staphylinidae,Xantholinus,longiventris,100,Private,       
>otu189,Bryophyta,Bryopsida,Hypnales,Hypnaceae,Hypnum,imponens,99.44,Published,2
>otu190,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu191,Mollusca,Gastropoda,Stylommatophora,Testacellidae,Testacella,maugei,99.27,Published,       
>otu192,Rotifera,Bdelloidea,Adinetida,Adinetidae,Adineta,,96.43,Published,       
>otu194,Magnoliophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,alba,99.44,Published,2
>otu195,Cnidaria,Anthozoa,,,,,76.19,Published,2
>otu196,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu197,Arthropoda,Malacostraca,,,,,81.33,Published,2
>otu198,Proteobacteria,Alphaproteobacteria,,,,,75.29,Published,2
>otu199,Arthropoda,Insecta,Diptera,Psychodidae,Bichromomyia,,95.24,Published,2
>otu200,Mollusca,Gastropoda,,,,,95.24,Published,4
>otu201,Arthropoda,Collembola,Entomobryomorpha,Entomobryidae,,,93.33,Private,1 2    
>otu202,Arthropoda,Insecta,Odonata,Gomphidae,,,92.31,Early-Release,    3 4
>otu203,Nematoda,Chromadorea,Rhabditida,Rhabditidae,Prodontorhabditis,,95.98,Private,3
>otu204,Annelida,Clitellata,Crassiclitellata,Lumbricidae,,,97.13,Private,  2 3  
>otu205,Arthropoda,Insecta,,,,,82.67,Published,2
>otu206,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu207,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Dendrobaena,octaedra,100,Published,       
>otu208,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu209,Arthropoda,Insecta,,,,,50,Private,1 2    
>otu210,Arthropoda,Diplopoda,Polydesmida,Polydesmidae,,,92.09,Private,1 2    
>otu211,Arthropoda,Arachnida,Araneae,Atypidae,Atypus,,97.7,Published,       
>otu212,Arthropoda,Insecta,,,,,80,Published,2
>otu213,Rhodophyta,Florideophyceae,Ceramiales,,,,86.21,Published,4
>otu214,Arthropoda,Diplopoda,Polydesmida,Polydesmidae,Polydesmus,inconstans,98.87,Private,3
>otu215,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu216,Rhodophyta,Florideophyceae,Hapalidiales,,,,85.47,Published,2
>otu217,Arthropoda,Insecta,Lepidoptera,Nolidae,Callinola,bifiliferata,98.72,Published,2
>otu218,Arthropoda,Branchiopoda,,,,,81.33,Published,2
>otu219,Arthropoda,Arachnida,,,,,84.26,Published,2
>otu220,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu221,Chordata,Actinopterygii,,,,,79.01,Published,2
>otu222,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu223,Arthropoda,Insecta,Diptera,Psychodidae,Sciopemyia,,95.24,Published,2
>otu224,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu225,Arthropoda,Insecta,,,,,79.76,Published,2
>otu226,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Chrysolina,bankii,100,Private,       
>otu227,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu228,Rotifera,Bdelloidea,,Philodinidae,,,91.43,Published,2
>otu229,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu230,Nematoda,Chromadorea,Rhabditida,Heterorhabditidae,,,90.48,Published,2
>otu231,Arthropoda,Insecta,Hemiptera,,,,86.21,Private,  2 3 4
>otu232,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu234,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu235,Rhodophyta,Florideophyceae,,,,,81.29,Published,2
>otu236,Ascomycota,Sordariomycetes,,,,,81.82,Private,2
>otu237,Echinodermata,Crinoidea,,,,,72.84,Published,2
>otu238,Arthropoda,Insecta,,,,,50,Private,1 2    
>otu239,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu240,Arthropoda,Thecostraca,,,,,78.21,Published,2
>otu241,Arthropoda,Malacostraca,Isopoda,Porcellionidae,Porcellio,dilatatus,100,Published,1
>otu242,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu243,Nematoda,Chromadorea,Rhabditida,Rhabditidae,Caenorhabditis,elegans,100,Published,       
>otu244,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu245,Chordata,Actinopterygii,,,,,80.25,Published,2
>otu246,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu247,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu248,Arthropoda,Arachnida,Sarcoptiformes,Crotoniidae,Camisia,spinifer,100,Private,       
>otu249,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu250,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu251,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu252,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu253,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu254,Arthropoda,Copepoda,Harpacticoida,,,,87.18,Published,2
>otu255,Arthropoda,Malacostraca,Decapoda,Potamonautidae,,,,Published,2
>otu256,Arthropoda,Malacostraca,Isopoda,Porcellionidae,Porcellio,scaber,98.85,Published,       
>otu257,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu258,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu259,Nematoda,Chromadorea,Aphelenchida,,,,88.7,Private,  2 3 4
>otu260,Rhodophyta,Florideophyceae,Gigartinales,,,,85.06,Private,    3 4
>otu262,Rhodophyta,Florideophyceae,Halymeniales,,,,86.4,Early-Release,  2 3  
>otu263,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu265,Mollusca,Gastropoda,Stylommatophora,Arionidae,Arion,intermedius,100,Private,       
>otu266,Arthropoda,Branchiopoda,Anostraca,,,,85.19,Published,4
>otu267,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu268,Cnidaria,Cubozoa,,,,,79.49,Published,2
>otu269,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu270,Arthropoda,Malacostraca,Isopoda,Armadillidiidae,Eluma,,97.18,Private,  2 3  
>otu271,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu273,Rhodophyta,Florideophyceae,Ceramiales,,,,85.19,Early-Release,    3 4
>otu275,Arthropoda,Insecta,Lepidoptera,Geometridae,Adactylotis,contaminaria,98.87,Published,2
>otu276,Arthropoda,Insecta,Diptera,Culicidae,,,93.59,Private,2
>otu277,Arthropoda,Insecta,Lepidoptera,Noctuidae,,,100,Private,3
>otu278,Nematoda,Chromadorea,Rhabditida,Ancylostomatidae,,,90.48,Published,       
>otu279,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu280,Rhodophyta,Florideophyceae,,,,,82.39,Published,2
>otu281,Zygomycota,,,,,,95.98,Private,3
>otu282,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu283,Zygomycota,,,,,,95.4,Private,3
>otu284,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu285,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu286,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu287,Chordata,Actinopterygii,,,,,80.25,Published,2
>otu288,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Bimastos,eiseni,99.43,Private,  2 3  
>otu289,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu290,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu291,Magnoliophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,saccharinum,98.31,Published,2
>otu292,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu293,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu294,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Bimastos,rubidus,100,Private,3
>otu295,Echinodermata,Crinoidea,,,,,83.33,Published,2
>otu296,Arthropoda,Insecta,Hemiptera,,,,87.88,Private,    3 4
>otu297,Rhodophyta,Florideophyceae,,,,,83.91,Published,2
>otu298,Arthropoda,Copepoda,,,,,79.49,Published,2
>otu299,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu300,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu301,Arthropoda,Insecta,,,,,50,Private,1 2    
>otu302,Arthropoda,Diplopoda,Julida,Julidae,Ommatoiulus,,96.61,Private,  2 3  
>otu303,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu304,Arthropoda,Insecta,Coleoptera,,,,86.31,Private,    3 4
>otu305,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu306,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu307,Mollusca,Gastropoda,Stylommatophora,Lauriidae,Lauria,,95.83,Private,       
>otu308,Arthropoda,Insecta,,,,,79.49,Published,2
>otu309,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu310,Arthropoda,Insecta,Diptera,Psychodidae,,,92.59,Published,2
>otu311,Arthropoda,Arachnida,,,,,82.72,Published,2
>otu312,Chlorophyta,Trebouxiophyceae,,,,,81.03,Published,2
>otu313,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu314,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu315,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu316,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu317,Arthropoda,Collembola,Symphypleona,Dicyrtomidae,,,94.35,Published,1
>otu318,Nematoda,Chromadorea,Rhabditida,Rhabditidae,,,90.4,Published,2
>otu319,Arthropoda,Insecta,Coleoptera,Staphylinidae,Quedius,semiobscurus,100,Private,       
>otu320,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu321,Arthropoda,Insecta,Diptera,Culicidae,Culex,,95.24,Private,  2 3  
>otu322,Arthropoda,Chilopoda,Geophilomorpha,Himantariidae,,,93.1,Private,3
>otu323,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu324,Arthropoda,Insecta,Diptera,Ceratopogonidae,,,91.03,Published,2
>otu325,Mollusca,Gastropoda,Stylommatophora,Helicidae,Oestophora,,97.28,Published,       
>otu326,Arthropoda,Insecta,Hemiptera,,,,89.09,Private,  2 3 4
>otu327,Annelida,Clitellata,Crassiclitellata,,,,87.5,Private,       
>otu328,Chordata,Actinopterygii,,,,,78.65,Private,  2 3  
>otu329,Arthropoda,Insecta,,,,,50,Private,1 2    
>otu330,Arthropoda,Chilopoda,Scolopendromorpha,Cryptopidae,Cryptops,hortensis,99.44,Private,       
>otu331,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu332,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu333,Arthropoda,Copepoda,,,,,79.01,Early-Release,2
>otu334,Arthropoda,Collembola,Poduromorpha,Brachystomellidae,Brachystomella,parvula,99.44,Published,       
>otu335,Arthropoda,Insecta,Diptera,Sciaridae,Dolichosciara,flavipes,100,Published,1 2    
>otu336,Cnidaria,Anthozoa,,,,,76.92,Published,2
>otu337,Arthropoda,Malacostraca,,,,,76.54,Published,2
>otu338,Chordata,Actinopterygii,,,,,80.77,Published,2
>otu339,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Hermeuptychia,,96.15,Published,4
>otu340,Nematoda,Chromadorea,Rhabditida,Rhabditidae,,,91.53,Published,2
>otu341,Arthropoda,Malacostraca,Decapoda,,,,87.1,Published,2
>otu342,Nematoda,Chromadorea,Rhabditida,,,,86.83,Published,1 2    
>otu343,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu344,Arthropoda,Arachnida,Sarcoptiformes,Crotoniidae,Platynothrus,peltifer,100,Private,       
>otu345,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,taurus,100,Published,2
>otu346,Arthropoda,Arachnida,Araneae,,,,86.42,Private,    3 4
>otu347,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu348,Chlorophyta,Trebouxiophyceae,,,,,75.29,Published,2
>otu349,Nematoda,Chromadorea,Rhabditida,Rhabditidae,,,100,Published,4
>otu350,Arthropoda,Chilopoda,Geophilomorpha,Geophilidae,,,90.23,Early-Release,  2 3  
